Corallina At Pacific Highlands,KBH-72812.1,N/A,San Diego,San Diego,CA,,,,,50
Sunny Village,KBH-72848.1,N/A,Fullerton,,CA,,,,,50
Kwon Property,KBH-72923,,Fullerton,,CA,,,,,50
Placentia,LNR-72863,N/A,Placentia,,CA,,,,,50
Tuscany Hills,WRC-72431.1,N/A,Lake Elsinore,,CA,,,,,50
DeOrtega Property,COR-72891,South of Oropeza Road and Highway 79,,Riverside,CA,,,,,50
The Farm,LNR-72917,N/A,San Juan Capistrano,,CA,,,,,75
Riverview,KBH-72942,N/A,Santee,San Diego,CA,,,,,342
Las Posas Road,KBH-72707,"Northwest of N. Las Posas Road and W. Mission Road
",San Marcos,San Diego,CA,92069,219-121-15-00 and -16-00,,,576
Mariner Square,KBH-72840,1244 Irvine Ave,Newport Beach,Orange,CA,92660,425-061-09,,,89
Former Sears,KBH72913,N/A,San Marcos,,CA,,,,,536
Coto De Caza,AAA-71535.1,2 Via Terracaleta,Coto de Caza,Orange,CA,92679,,,,
Wakland,,,,,CA,,,,,
Oak Creek,,Southwest Corner of Hamilton Lane and Miller Avenue,Escondido,San Diego,CA,,,,,
